GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
47145,53020.0,53258.0,53382.0,53841.0,53313.0,53777.0,54403.0,56742.0
47147,70177.0,71012.0,71813.0,72275.0,72309.0,73297.0,74291.0,78459.0
47149,317157.0,324890.0,332285.0,339261.0,335595.0,343727.0,351591.0,376996.0
47151,21985.0,22039.0,22068.0,22090.0,21855.0,21917.0,21969.0,22517.0
47153,14767.0,14891.0,15026.0,15176.0,15727.0,16065.0,16409.0,17620.0
47155,97638.0,97892.0,98250.0,99244.0,98088.0,98455.0,98802.0,100184.0
47157,936961.0,935764.0,937166.0,936017.0,929178.0,926440.0,922195.0,910530.0
47159,19732.0,19979.0,20157.0,20285.0,19820.0,20034.0,20196.0,20783.0
47161,13422.0,13619.0,13715.0,13859.0,13569.0,13724.0,13859.0,14365.0
47163,157158.0,157668.0,158348.0,158755.0,157843.0,158722.0,159693.0,162703.0
47165,183545.0,187149.0,191283.0,195561.0,193036.0,196845.0,200553.0,211721.0
47167,61305.0,61576.0,61599.0,61918.0,60868.0,61116.0,61339.0,62187.0
47169,10083.0,11012.0,11284.0,11455.0,11463.0,11596.0,11805.0,12159.0
47171,17796.0,17822.0,17883.0,17755.0,17891.0,17845.0,17779.0,17872.0
47173,19399.0,19689.0,19972.0,20187.0,19597.0,19860.0,20141.0,21064.0
47175,5708.0,5765.0,5872.0,5947.0,6083.0,6182.0,6293.0,6686.0
47177,40717.0,40826.0,41277.0,41605.0,40801.0,41163.0,41587.0,43619.0
47179,127806.0,128607.0,129375.0,130367.0,132067.0,133282.0,134693.0,139642.0
47181,16556.0,16558.0,16673.0,16524.0,16350.0,16325.0,16251.0,15974.0
47183,33325.0,33413.0,33328.0,33334.0,32948.0,32946.0,32959.0,33162.0
47185,26744.0,27107.0,27345.0,27707.0,27134.0,27420.0,27764.0,29108.0
47187,226257.0,231729.0,238412.0,245348.0,242386.0,248897.0,254609.0,269136.0
47189,136442.0,140625.0,144657.0,148130.0,144748.0,149096.0,153587.0,169948.0
48001,58175.0,57974.0,57735.0,57805.0,58133.0,58077.0,57825.0,59512.0
48003,17603.0,18011.0,18705.0,18879.0,18184.0,18362.0,18518.0,18923.0
48005,87805.0,87092.0,86715.0,86796.0,86584.0,86608.0,86791.0,88094.0
48007,25392.0,23446.0,23510.0,23814.0,24149.0,24048.0,24449.0,25595.0
48009,8809.0,8700.0,8553.0,8730.0,8616.0,8649.0,8734.0,9155.0
48011,1867.0,1892.0,1887.0,1950.0,1980.0,1912.0,1883.0,1809.0
48013,49083.0,50322.0,51153.0,51724.0,48684.0,49403.0,50058.0,52783.0
48015,29786.0,29965.0,30032.0,29972.0,30132.0,30406.0,30712.0,32546.0
48017,7054.0,7027.0,7000.0,6697.0,6968.0,6902.0,7044.0,7031.0
48019,22327.0,22792.0,23112.0,23861.0,20839.0,21182.0,21589.0,22830.0
48021,84761.0,86976.0,88723.0,91601.0,94887.0,98435.0,102370.0,114931.0
48023,3559.0,3582.0,3509.0,3518.0,3491.0,3475.0,3464.0,3533.0
48025,32563.0,32467.0,32565.0,32513.0,31191.0,30977.0,31000.0,31226.0
48027,347833.0,355642.0,362924.0,369927.0,364703.0,372821.0,379811.0,399578.0
48029,1958578.0,1986049.0,2003554.0,2009324.0,1990522.0,2014059.0,2037344.0,2127737.0
48031,11513.0,11702.0,11931.0,12269.0,11313.0,11608.0,12008.0,13358.0
48033,670.0,648.0,613.0,653.0,550.0,686.0,723.0,557.0
48035,18318.0,18691.0,18685.0,18603.0,18275.0,18404.0,18546.0,19013.0
48037,94012.0,94324.0,93245.0,93481.0,92957.0,92747.0,92321.0,91992.0
48039,362457.0,370200.0,374264.0,380518.0,368575.0,374600.0,381650.0,413224.0
48041,222830.0,226758.0,229211.0,232555.0,231095.0,234548.0,237980.0,249624.0
48043,9330.0,9267.0,9203.0,9237.0,9501.0,9454.0,9464.0,9508.0
48045,1518.0,1516.0,1457.0,1348.0,1266.0,1290.0,1223.0,1494.0
48047,7153.0,7114.0,7093.0,6964.0,7100.0,7059.0,6987.0,6740.0
48049,37815.0,37820.0,37864.0,37633.0,38085.0,38159.0,38294.0,38631.0
48051,18053.0,18335.0,18443.0,18514.0,17687.0,17958.0,18327.0,20179.0
48053,46654.0,47542.0,48155.0,49653.0,48424.0,49684.0,51064.0,55722.0
48055,42328.0,43161.0,43664.0,43979.0,45286.0,46141.0,47184.0,52430.0
48057,21712.0,21504.0,21290.0,21001.0,20367.0,20127.0,19921.0,19942.0
48059,13968.0,13990.0,13943.0,14110.0,13781.0,13869.0,14017.0,14615.0
48061,423725.0,423908.0,423163.0,424180.0,420554.0,421854.0,423192.0,431874.0
48063,12855.0,12983.0,13094.0,13060.0,12498.0,12543.0,12652.0,13164.0
48065,6005.0,6007.0,5926.0,5854.0,5856.0,5801.0,5802.0,5822.0
48067,29980.0,30119.0,30026.0,29879.0,28692.0,28637.0,28582.0,28622.0
48069,7760.0,7665.0,7530.0,7396.0,7450.0,7381.0,7328.0,7380.0
48071,41269.0,42227.0,43837.0,45590.0,45257.0,47037.0,49178.0,56179.0
48073,52116.0,52381.0,52646.0,52875.0,50564.0,50824.0,51143.0,53223.0
48075,7281.0,7291.0,7306.0,7143.0,6784.0,6781.0,6772.0,6679.0
48077,10421.0,10448.0,10471.0,10550.0,10236.0,10290.0,10402.0,10730.0
48079,2853.0,2836.0,2853.0,2897.0,2553.0,2529.0,2520.0,2583.0
48081,3303.0,3370.0,3387.0,3323.0,3288.0,3305.0,3315.0,3396.0
48083,8415.0,8397.0,8175.0,8100.0,7848.0,7808.0,7765.0,7990.0
48085,969603.0,1005146.0,1034730.0,1072069.0,1039812.0,1079153.0,1116601.0,1254658.0
48087,2987.0,2962.0,2920.0,2877.0,2948.0,2865.0,2733.0,2611.0
48089,21232.0,21217.0,21493.0,21610.0,20559.0,20582.0,20736.0,21475.0
48091,141009.0,148373.0,156209.0,164812.0,156257.0,165201.0,174552.0,201628.0
48093,13573.0,13534.0,13635.0,13750.0,13540.0,13651.0,13786.0,14359.0
48095,2717.0,4276.0,3266.0,3018.0,3181.0,3235.0,3301.0,3326.0
48097,39932.0,40504.0,41257.0,41393.0,41215.0,41860.0,42473.0,44258.0
48099,74913.0,74808.0,75951.0,76737.0,81692.0,82927.0,83772.0,86370.0
48101,1387.0,1389.0,1642.0,1624.0,1560.0,1647.0,1302.0,1263.0
48103,4740.0,4794.0,4802.0,4765.0,4654.0,4636.0,4623.0,4594.0
48105,3564.0,3499.0,3464.0,3513.0,2939.0,2949.0,2881.0,2799.0
48107,5849.0,5764.0,5737.0,5567.0,5265.0,5157.0,5072.0,5030.0
48109,2237.0,2204.0,2214.0,2149.0,2209.0,2181.0,2181.0,2254.0
48111,7211.0,7200.0,7287.0,7273.0,7135.0,7165.0,7180.0,7526.0
48113,2618148.0,2637772.0,2635516.0,2613539.0,2604722.0,2604053.0,2603816.0,2656028.0
48115,12744.0,12605.0,12728.0,12974.0,12371.0,12342.0,12311.0,11758.0
48117,18753.0,18711.0,18546.0,18277.0,18675.0,18585.0,18487.0,18495.0
48119,5286.0,5349.0,5331.0,5349.0,5251.0,5278.0,5345.0,5647.0
48121,836210.0,859064.0,887207.0,919324.0,885012.0,914870.0,945644.0,1045120.0
48123,20208.0,20187.0,20160.0,20174.0,19834.0,19826.0,19853.0,20252.0
48125,2207.0,2249.0,2203.0,2140.0,1569.0,1570.0,1641.0,1725.0
48127,10346.0,10308.0,10124.0,9925.0,8840.0,8672.0,8507.0,8181.0
48129,3351.0,3319.0,3278.0,3317.0,3266.0,3298.0,3276.0,3193.0
48131,11270.0,11147.0,11157.0,11058.0,10001.0,9960.0,9824.0,9585.0
48133,18342.0,18322.0,18360.0,18388.0,17785.0,17812.0,17846.0,18290.0
48135,157087.0,162124.0,166223.0,167701.0,161258.0,162300.0,163206.0,170022.0
48137,1941.0,1928.0,1918.0,1944.0,1366.0,1380.0,1392.0,1383.0
48139,173620.0,179436.0,184826.0,191760.0,187984.0,195509.0,203927.0,232387.0
48141,840410.0,840758.0,839238.0,841286.0,860485.0,863832.0,866275.0,875784.0
48143,41723.0,42223.0,42698.0,43224.0,42288.0,42788.0,43244.0,44496.0
48145,17340.0,17231.0,17297.0,17275.0,17074.0,17013.0,17063.0,17752.0
48147,34550.0,35185.0,35514.0,35913.0,35453.0,36052.0,36525.0,38650.0
48149,25176.0,25349.0,25346.0,25547.0,24445.0,24564.0,24783.0,25488.0
48151,3904.0,3839.0,3830.0,3784.0,3720.0,3680.0,3661.0,3665.0
48153,5864.0,5837.0,5712.0,5672.0,5478.0,5386.0,5294.0,5042.0
48155,1206.0,1200.0,1275.0,1207.0,1087.0,1075.0,1079.0,1053.0
48157,764828.0,787858.0,811688.0,839706.0,806497.0,832607.0,859721.0,958434.0
48159,10780.0,10766.0,10725.0,10821.0,10413.0,10445.0,10522.0,10912.0
48161,19654.0,19808.0,19717.0,19874.0,19478.0,19599.0,19813.0,20645.0
48163,19895.0,20211.0,20306.0,20379.0,18428.0,18151.0,18019.0,19520.0
48165,20635.0,20901.0,21492.0,21996.0,21167.0,21523.0,21904.0,22892.0
48167,335036.0,337890.0,342139.0,345089.0,347084.0,350801.0,354721.0,367407.0
48169,6559.0,6578.0,6229.0,6222.0,5734.0,5735.0,5435.0,4645.0
48171,26483.0,26702.0,26988.0,26960.0,26730.0,26953.0,27202.0,28159.0
48173,1360.0,1388.0,1510.0,1447.0,1221.0,1068.0,1070.0,1153.0
48175,7552.0,7588.0,7658.0,7626.0,7085.0,7092.0,7096.0,7221.0
48177,20796.0,20826.0,20837.0,20948.0,19720.0,19736.0,19764.0,20040.0
48179,22106.0,22051.0,21886.0,21658.0,21398.0,21272.0,21131.0,20888.0
48181,131140.0,133991.0,136212.0,138318.0,134205.0,137008.0,139988.0,150532.0
48183,123367.0,123707.0,123945.0,124229.0,123744.0,124245.0,124860.0,126679.0
48185,27977.0,28360.0,28880.0,29614.0,28878.0,29442.0,30385.0,33448.0
48187,159659.0,163694.0,166847.0,170608.0,169477.0,173828.0,178368.0,195166.0
48189,33954.0,33631.0,33406.0,32754.0,32879.0,32525.0,32247.0,31953.0
