,FIPS,County,State,Population,X,Y,HC_2002,HC_2003,HC_2004,HC_2005,HC_2006,HC_2007,HC_2008,HC_2009,HC_2010,HC_2011,HC_2012,HC_2013,HC_2014,HC_2015,HC_2016,HC_2017,HC_2018,HC_2019,HC_2020,HC_2021,HC_2022,HC_2023,HC_2024,HC_2002_per_100k,HC_2003_per_100k,HC_2004_per_100k,HC_2005_per_100k,HC_2006_per_100k,HC_2007_per_100k,HC_2008_per_100k,HC_2009_per_100k,HC_2010_per_100k,HC_2011_per_100k,HC_2012_per_100k,HC_2013_per_100k,HC_2014_per_100k,HC_2015_per_100k,HC_2016_per_100k,HC_2017_per_100k,HC_2018_per_100k,HC_2019_per_100k,HC_2020_per_100k,HC_2021_per_100k,HC_2022_per_100k,HC_2023_per_100k,HC_2024_per_100k
33,17067,Hancock,Illinois,17708,-91.1596,40.4021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.647165123108199,0.0,5.647165123108199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,17069,Hardin,Illinois,3821,-88.2669,37.5182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26.171159382360635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,17071,Henderson,Illinois,6646,-90.9204,40.8181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.09328919650918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,17073,Henry,Illinois,48913,-90.1314,41.3531,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.088892523460021,0.0,0.0,0.0,2.0444462617300103,2.0444462617300103,0.0,0.0,0.0,0.0,2.0444462617300103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,17075,Iroquois,Illinois,27114,-87.8243,40.7472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688131592535222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,17077,Jackson,Illinois,56750,-89.3812,37.7855,6,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,10.572687224669604,0.0,1.7621145374449338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7621145374449338,3.5242290748898677,0.0,0.0,0.0,3.5242290748898677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,17079,Jasper,Illinois,9610,-88.1538,39.01,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.81165452653486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.40582726326743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,17081,Jefferson,Illinois,37684,-88.924,38.3005,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.653646109754803,0.0,2.653646109754803,0.0,5.307292219509606,0.0,0.0,0.0,0.0,0.0,0.0,2.653646109754803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,17083,Jersey,Illinois,21773,-90.3568,39.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.592844348505029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,17085,Jo Daviess,Illinois,21235,-90.2062,42.366,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,4.709206498704968,0.0,4.709206498704968,0.0,0.0,0.0,0.0,0.0,4.709206498704968,0.0,0.0,0.0,4.709206498704968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
