,County_1,FIPS,Population,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
52,Livingston,17105,35648,91.53236915,2.782691691,28.16600598,14.97028668,3.619199964,16.67,28.01,1.480265901,0.8,0.79,0.79,0.0
53,Logan,17107,28618,85.62340763,2.021150882,28.91815603,15.84748776,3.859518529,18.04,27.95,1.545452457,0.82,0.81,0.8,0.0
54,McDonough,17109,29682,88.40391624,2.35864416,28.29830789,15.47998954,4.022823161,17.2,26.76,1.610823014,0.83,0.81,0.74,0.0
55,McHenry,17111,307774,95.02090858,3.906843843,26.56153593,13.79483651,3.994027628,16.58,26.34,1.151043171,0.79,0.78,0.74,1.2994818316196417
56,McLean,17113,171517,88.69866176,2.370441809,28.47556612,15.32701538,4.007438295,17.22,27.65,1.529230204,0.81,0.79,0.7,0.0
57,Macon,17115,104009,84.51861245,2.0473919,28.82898915,16.22326139,3.81828954,19.53,28.9,1.392971772,0.79,0.76,0.77,0.0
58,Macoupin,17117,44926,86.85554227,2.353506921,29.28615088,16.35955019,3.807513191,18.49,27.64,1.546874968,0.8,0.8,0.68,0.0
59,Madison,17119,262966,87.11338967,2.750657759,29.55599168,17.28720515,3.621335844,20.5,29.59,1.494163322,0.79,0.78,0.72,0.7540028124304904
60,Marion,17121,37205,87.70306739,1.917704326,29.73260039,16.55601942,3.623321687,19.46,28.9,1.486644533,0.75,0.78,0.81,0.0
61,Marshall,17123,11438,88.30493716,2.305194353,28.0935695,15.02807578,3.814620193,18.56,26.05,1.637534043,0.84,0.81,0.79,0.0
62,Mason,17125,13359,85.57943046,2.378550186,29.06442589,15.7624188,3.952556924,20.19,26.13,1.687139713,0.81,0.77,0.77,0.0
63,Massac,17127,13772,92.76093814,2.830628083,29.73910856,18.07118514,2.922096994,21.14,26.8,1.525340482,0.78,0.79,0.79,6.997410957945561
64,Menard,17129,12196,84.07777895,1.952171571,29.15499316,16.13022142,3.95451502,17.61,28.55,1.656890258,0.82,0.81,0.82,0.0
65,Mercer,17131,15437,87.78244667,2.561399527,28.16564638,15.12098174,3.899347025,18.96,25.54,1.594471707,0.84,0.82,0.76,0.0
66,Monroe,17133,34637,85.65836763,1.669963043,30.32552057,17.64118168,3.247105516,20.34,27.65,1.489951891,0.75,0.79,0.79,0.0
67,Montgomery,17135,28414,86.75721879,2.347829172,29.47043054,16.22067754,3.820907213,19.51,27.3,1.527063051,0.8,0.81,0.71,0.0
68,Morgan,17137,33658,86.69970189,1.380142982,29.36955071,15.91812426,3.902285767,19.75,27.37,1.418694061,0.78,0.78,0.0,0.0
69,Moultrie,17139,14501,86.1333906,1.977744774,28.95087698,16.06187407,3.794404699,19.89,26.41,1.458348212,0.78,0.75,0.76,0.0
70,Ogle,17141,50643,93.4504839,3.464883592,27.03833715,14.12383968,3.97008199,16.19,25.99,1.333491748,0.84,0.82,0.8,0.0
