County_1,FIPS,Population,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,LSTMean_2019,Chlorophyll_2019,Ag_MEAN_2019,Fs_MEAN_2019,Rn_MEAN_2019,Cases_normalized_2019
Pope,17151,4177,98.1393933,2.911125441,30.02562914,18.278178,2.978637472,23.555,1.792213887,0.79,0.85,0.8,0.0
Pulaski,17153,5335,96.52209564,3.96860988,30.38338152,19.55039133,2.958919694,23.88,1.288871673,0.73,0.79,0.74,0.0
Putnam,17155,5739,92.50004747,4.301706003,27.62420146,16.66862126,3.548113446,22.65,1.270823295,0.81,0.79,0.75,0.0
Randolph,17157,31782,95.24637193,2.794903941,29.94759572,18.64027277,3.038186528,24.925,1.358506064,0.74,0.78,0.73,0.0
Richland,17159,15513,96.59156933,4.011137056,29.71068829,17.78857653,3.435405675,23.955,1.211682104,0.77,0.79,0.7,0.0
Rock Island,17161,141879,94.19038635,3.738715629,27.9222746,16.87943076,3.528612531,22.775,1.02076481,0.79,0.77,0.75,0.0
St. Clair,17163,259686,94.85535787,3.818543762,29.91320851,19.00026295,3.100889329,25.84,1.236997385,0.81,0.8,0.78,0.7701608866092127
Saline,17165,23491,97.58273299,2.921619431,30.35440496,18.29917247,2.958426462,24.155,1.418324356,0.75,0.8,0.79,0.0
Sangamon,17167,194672,94.00122661,4.162237255,28.90915611,17.57747952,3.747579412,24.03,1.390524013,0.82,0.79,0.76,0.5136845565874908
Schuyler,17169,6768,95.32472729,4.153634529,28.40372073,17.59869972,3.755084099,23.53,1.405637415,0.79,0.82,0.78,0.0
Scott,17171,4951,95.19259308,3.285476213,28.81758464,17.71373487,3.75120622,23.13,1.345175674,0.79,0.8,0.76,20.197939810139363
Shelby,17173,21634,95.11737309,4.062059913,28.979022,17.54954607,3.706173036,23.055,1.400152238,0.8,0.81,0.78,0.0
Stark,17175,5342,93.78472782,4.791046387,27.69880847,16.4529126,3.669907652,0.0,1.219910678,0.82,0.81,0.75,0.0
Stephenson,17177,44498,96.17826779,5.641381779,26.22967294,15.17971629,3.767788799,20.509999999999998,1.369961776,0.82,0.79,0.77,0.0
Tazewell,17179,131803,93.459862,3.595990536,28.47101651,17.03298707,3.775459054,24.380000000000003,1.123981702,0.8,0.78,0.76,0.0
Union,17181,16653,96.83110291,3.546281188,30.30113119,18.91868646,2.891795789,24.605,1.583639834,0.69,0.82,0.8,0.0
Vermilion,17183,75758,94.40850447,2.679849585,28.4567969,16.59949796,3.625716396,23.08,1.21576434,0.78,0.8,0.67,0.0
Wabash,17185,11520,97.44827215,4.0152933,30.00492602,18.09355937,3.115545486,23.405,1.260069945,0.75,0.75,0.75,0.0
Warren,17187,16844,95.45965061,3.7979445,27.92313478,16.88437728,3.761834278,0.0,1.221640324,0.83,0.81,0.76,0.0
Washington,17189,13887,95.12605787,2.799099513,29.64930442,18.6687102,3.339500023,0.0,1.295067143,0.76,0.8,0.76,0.0
Wayne,17191,16215,96.34829268,3.988777625,29.98050131,18.30874007,3.466585302,0.0,1.174085165,0.73,0.77,0.71,0.0
White,17193,13537,97.81144766,3.799900549,30.15421996,18.23898417,3.140683267,24.13,1.323321195,0.74,0.76,0.75,0.0
Whiteside,17195,55175,94.02151364,4.486207059,27.33538711,16.44377638,3.413367974,22.835,1.182693726,0.78,0.79,0.77,0.0
Will,17197,690743,94.45188947,5.022717523,27.51225209,16.13209867,3.565167556,24.205,0.956982923,0.73,0.73,0.78,0.0
Williamson,17199,66597,97.03684422,3.253749382,30.11080254,18.57525177,2.88800922,24.450000000000003,1.416261731,0.74,0.8,0.0,0.0
Winnebago,17201,282572,95.04750157,5.056463573,26.70005135,15.55822613,3.798682127,22.125,1.144075038,0.81,0.8,0.0,0.0
Woodford,17203,38459,93.78962742,4.401576306,28.26347098,16.58944162,3.765909064,23.48,1.208011091,0.83,0.8,0.0,0.0
