County_1,FIPS,State,Population,X,Y,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,Hum_18,Pre_18,Tmax_18,Tmin_18,WS_18,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,Hum_21,Pre_21,Tmax_21,Tmin_21,WS_21,Hum_22,Pre_22,Tmax_22,Tmin_22,WS_22,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,Hum_24,Pre_24,Tmax_24,Tmin_24,WS_24
Jackson,17077,Illinois,56750,-89.3812,37.7855,91.1875009,2.451525495,29.73822904,17.36167812,2.947613444,93.92812904,4.672464853,30.02980067,19.20643354,2.980481634,96.75621918,3.213420754,30.18116004,18.63860295,2.946289527,95.64075869,3.238326531,29.37912433,18.02613962,2.82710609,95.0669014,3.60394534,29.6760593,18.47336402,2.888782991,92.54617415,2.270363864,30.21751514,18.05900658,2.848311094,91.16291096,3.614837262,30.26609151,17.59044354,2.945215808,92.02476391,4.11750852,30.00169679,18.30079921,3.086483128
Jasper,17079,Illinois,9610,-88.1538,39.01,88.64401663,2.104955338,29.23317624,16.44616536,3.731234467,94.10514099,5.540488976,29.37295723,18.48132753,3.551870777,95.3968472,3.360980363,29.46967622,17.85853809,3.622705967,95.06341796,3.554982092,28.62768663,16.96979986,3.419908477,95.19748509,4.418750845,28.9484696,17.73805436,3.50571651,93.21239588,4.739310871,29.01374997,17.34154667,3.476585736,86.36928052,2.679652712,28.97613739,16.81596598,3.52637648,90.58800827,3.071092858,29.16024053,17.20036817,3.701391749
Jefferson,17081,Illinois,37684,-88.924,38.3005,88.19129562,1.892787366,29.71355068,16.91698405,3.242663974,93.31301306,4.7663601,29.83274079,18.78772159,3.150349503,95.89072845,3.112834662,29.69270807,18.35646512,3.167964047,94.85780641,2.452261493,29.24894578,17.66435948,3.024098959,95.93245077,4.305327245,29.62618063,18.02593545,3.07147701,92.46329983,3.490700905,29.76038995,17.69477007,3.053930527,88.5224091,2.729293221,30.14787665,17.24040269,3.159920719,92.43374675,4.052416479,29.97851424,17.77889406,3.250401325
Jersey,17083,Illinois,21773,-90.3568,39.087,87.18735756,2.033272529,29.5350335,16.77675024,3.63074209,91.55737615,2.898043919,30.00771613,18.37915361,3.72891717,95.67579946,3.314842869,29.20897433,18.33314727,3.512077879,94.83268687,2.937476041,29.04203269,17.42807717,3.341038163,94.86060148,4.105314959,29.59839174,18.08263474,3.322503395,90.72733186,2.811362042,29.40505605,17.68367761,3.490451328,86.2107568,2.80660451,29.19340945,16.85365869,3.500565961,90.94732443,3.05905289,29.84711955,17.56945142,3.619817706
Jo Daviess,17085,Illinois,21235,-90.2062,42.366,93.74098007,3.567672546,26.46212926,13.75183314,3.709770473,96.04430128,6.527938374,26.62361714,15.10120762,3.696281281,96.15109547,5.633532799,26.23300771,15.25741999,3.566249607,93.34498027,4.113570006,26.66410996,14.78818495,3.782529413,88.70902413,2.066882123,27.6114904,15.27646958,3.791467986,90.22337051,4.06516273,26.12356483,14.99386326,3.880199898,84.41523062,2.880159638,26.91482217,14.22989222,3.646438107,93.2081771,3.669028346,26.89201283,14.78825307,3.638265656
Johnson,17087,Illinois,12417,-88.8809,37.4596,91.94352043,2.5630352,29.79984588,17.76280719,2.908352577,95.10026453,3.71231248,30.18002823,19.43152747,2.983674909,97.47149893,3.195358437,30.25160945,18.73004713,2.908780367,96.08559619,4.179994971,29.2749269,18.25632823,2.834109313,96.17794411,3.220468182,29.59631854,18.51844245,2.947412586,93.2681575,2.869440588,30.22940839,18.34519389,2.87503699,92.64505905,3.84359177,29.7828013,17.86731939,2.908874032,93.76984835,3.805204416,30.05163872,18.39742017,3.022867877
Kane,17089,Illinois,532403,-88.4287,41.9389,92.71253415,3.260181254,26.94002269,14.36694419,3.987093913,94.52195379,4.205305874,27.29450794,15.70403894,3.936629101,93.96701633,4.260222574,26.98675464,15.84817533,3.851037975,91.71962297,2.910992693,27.42508082,15.15563918,4.060875354,87.7619781,3.035314643,28.07535635,15.83946876,4.150347599,90.28496474,3.549557203,26.64216459,15.18889844,4.14861251,84.66787219,3.26122083,26.73841887,14.79556326,3.860267492,89.36410421,3.361539062,27.63546568,15.3708985,3.962219188
Kankakee,17091,Illinois,109862,-87.8618,41.1377,92.28108564,3.261819412,27.57955984,15.01623123,3.584325488,92.76043135,3.091646807,28.32311941,16.42424511,3.66092182,94.03957414,4.618689187,27.67427331,16.36291035,3.55582481,91.55962946,2.876183596,27.94451317,15.79613006,3.503659435,90.64436378,3.567580928,28.1386978,16.73458462,3.661800571,90.83266255,2.725156597,27.5235213,15.53024812,3.686471152,88.10718976,3.01050527,27.17599344,14.84413974,3.413159801,91.29045159,2.961066361,28.0007147,15.54827943,3.578864102
Kendall,17093,Illinois,128990,-88.4288,41.5905,91.14139814,2.857047307,27.51181351,14.82745291,3.668518147,92.70534271,3.362064308,27.99786521,16.24481959,3.648522856,92.99377422,5.434419957,27.45800074,16.37088223,3.529460105,90.58947347,2.434159438,27.79515208,15.58694668,3.621822354,87.32423128,2.868254095,28.3069572,16.62097157,3.73130717,88.5201779,2.873923041,27.17862935,15.64390148,3.736502062,84.63798026,3.292239161,27.09887838,15.12520005,3.500477633,88.49417795,3.238236852,28.37676163,15.80303454,3.602110794
Knox,17095,Illinois,49699,-90.2133,40.9318,88.43475979,2.484987953,27.9300567,14.81687706,3.975097306,92.36423004,4.278839421,28.14491595,16.45829911,3.921831434,95.02916433,4.434098325,27.87355336,16.6282554,3.753471374,93.30343562,3.149626187,27.67470904,15.58092109,3.841714877,94.30444347,3.797449538,28.17889909,16.30776921,3.6482821,90.97343873,3.284975362,27.49837802,15.62879872,3.849591605,86.79283127,3.663546218,27.77004787,15.17025891,3.618732732,90.50733088,3.477082796,28.12138914,15.92011141,3.78508008
